,M̩todo de Balanceo,Algoritmo,Accuracy Sin GridSearch,Accuracy GridSearch,Accuracy,Balanced Accuracy,Recall,F1,Precision,ROC_AUC,Overfitting (%)
0,ros,SVC,0.793,0.947,0.887,0.495,0.059,0.05,0.044,0.495,10.281
1,ros,LogisticRegression,0.77,0.778,0.77,0.805,0.843,0.273,0.163,0.805,1.026
2,ros,DecissionTree,0.922,0.799,0.733,0.702,0.667,0.204,0.12,0.702,10.001
3,ros,KNN,0.861,0.966,0.917,0.52,0.078,0.088,0.1,0.52,9.091
4,ros,GradientBoosting,0.824,0.994,0.944,0.507,0.02,0.034,0.143,0.507,5.957
5,ros,RandomForest,0.942,0.99,0.942,0.515,0.039,0.065,0.182,0.515,6.183
6,ros,AdaBoost,0.77,0.814,0.765,0.783,0.804,0.259,0.155,0.783,6.865
7,ros,XGB,0.932,0.98,0.926,0.497,0.02,0.026,0.04,0.497,8.026
8,ros,CatBoost,0.92,0.908,0.857,0.693,0.51,0.268,0.182,0.693,9.639
9,ros,LGBM,0.916,0.839,0.772,0.741,0.706,0.241,0.145,0.741,9.893
10,rus,SVC,0.659,0.795,0.735,0.795,0.863,0.25,0.146,0.795,11.295
11,rus,LogisticRegression,0.731,0.779,0.739,0.798,0.863,0.253,0.148,0.798,8.261
12,rus,DecissionTree,0.684,0.782,0.696,0.784,0.882,0.229,0.132,0.784,13.873
13,rus,KNN,0.688,0.685,0.61,0.628,0.647,0.145,0.082,0.628,17.191
14,rus,GradientBoosting,0.727,0.795,0.697,0.775,0.863,0.226,0.13,0.775,15.181
15,rus,RandomForest,0.726,0.777,0.706,0.752,0.804,0.219,0.127,0.752,41.679
16,rus,AdaBoost,0.713,0.785,0.696,0.784,0.882,0.229,0.132,0.784,13.873
17,rus,XGB,0.71,0.797,0.709,0.791,0.882,0.237,0.137,0.791,13.223
18,rus,CatBoost,0.718,0.792,0.68,0.776,0.882,0.22,0.126,0.776,17.696
19,rus,LGBM,0.709,0.746,0.71,0.791,0.882,0.237,0.137,0.791,11.618
20,smote,SVC,0.859,0.918,0.901,0.512,0.078,0.075,0.071,0.512,7.647
21,smote,LogisticRegression,0.831,0.776,0.832,0.782,0.725,0.307,0.195,0.782,6.402
22,smote,DecissionTree,0.876,0.8,0.83,0.762,0.686,0.293,0.186,0.762,1.108
23,smote,KNN,0.852,0.916,0.886,0.504,0.078,0.066,0.056,0.504,12.925
24,smote,GradientBoosting,0.9,0.95,0.932,0.51,0.039,0.056,0.095,0.51,7.328
25,smote,RandomForest,0.919,0.935,0.915,0.528,0.098,0.105,0.114,0.528,9.33
26,smote,AdaBoost,0.84,0.846,0.865,0.669,0.451,0.256,0.178,0.669,1.386
27,smote,XGB,0.932,0.942,0.933,0.529,0.078,0.107,0.167,0.529,6.841
28,smote,CatBoost,0.931,0.872,0.877,0.62,0.333,0.217,0.16,0.62,3.358
29,smote,LGBM,0.925,0.625,0.949,0.5,0.0,0.0,0.0,0.5,34.118
30,condensed_nearest,SVC,0.949,0.736,0.949,0.5,0.0,0.0,0.0,0.5,22.709
31,condensed_nearest,LogisticRegression,0.948,0.737,0.94,0.532,0.078,0.118,0.235,0.532,21.821
32,condensed_nearest,DecissionTree,0.839,0.735,0.949,0.5,0.0,0.0,0.0,0.5,22.566
33,condensed_nearest,KNN,0.934,0.735,0.95,0.519,0.039,0.074,0.667,0.519,21.788
34,condensed_nearest,GradientBoosting,0.925,0.736,0.949,0.5,0.0,0.0,0.0,0.5,22.566
35,condensed_nearest,RandomForest,0.932,0.703,0.933,0.51,0.039,0.056,0.1,0.51,7.212
36,condensed_nearest,AdaBoost,0.917,0.735,0.949,0.5,0.0,0.0,0.0,0.5,22.566
37,condensed_nearest,XGB,0.904,0.736,0.949,0.5,0.0,0.0,0.0,0.5,22.566
38,condensed_nearest,CatBoost,0.931,0.744,0.945,0.507,0.02,0.035,0.167,0.507,19.5
39,condensed_nearest,LGBM,0.914,0.735,0.949,0.5,0.0,0.0,0.0,0.5,22.566
40,near_miss,SVC,0.274,0.841,0.255,0.524,0.824,0.102,0.054,0.524,241.853
41,near_miss,LogisticRegression,0.371,0.833,0.374,0.541,0.725,0.106,0.057,0.541,121.151
42,near_miss,DecissionTree,0.286,0.782,0.391,0.493,0.608,0.093,0.05,0.493,121.902
43,near_miss,KNN,0.366,0.782,0.29,0.468,0.667,0.088,0.047,0.468,205.755
44,near_miss,GradientBoosting,0.299,0.856,0.251,0.531,0.843,0.103,0.055,0.531,297.378
45,near_miss,RandomForest,0.228,0.846,0.249,0.521,0.824,0.101,0.054,0.521,301.613
46,near_miss,AdaBoost,0.408,0.823,0.554,0.589,0.627,0.126,0.07,0.589,49.437
47,near_miss,XGB,0.336,0.841,0.384,0.536,0.706,0.105,0.057,0.536,129.98
48,near_miss,CatBoost,0.278,0.836,0.349,0.499,0.667,0.095,0.051,0.499,148.046
49,near_miss,LGBM,0.36,0.779,0.44,0.575,0.725,0.117,0.064,0.575,86.582
50,smote_tomek,SVC,0.818,0.942,0.881,0.492,0.059,0.048,0.041,0.492,10.892
51,smote_tomek,LogisticRegression,0.765,0.791,0.76,0.799,0.843,0.265,0.157,0.799,4.129
52,smote_tomek,DecissionTree,0.869,0.81,0.708,0.753,0.804,0.22,0.127,0.753,15.516
53,smote_tomek,KNN,0.832,0.946,0.876,0.498,0.078,0.061,0.049,0.498,14.22
54,smote_tomek,GradientBoosting,0.858,0.966,0.925,0.497,0.02,0.026,0.038,0.497,8.143
55,smote_tomek,RandomForest,0.901,0.951,0.901,0.54,0.137,0.124,0.113,0.54,11.037
56,smote_tomek,AdaBoost,0.785,0.85,0.794,0.734,0.667,0.249,0.153,0.734,7.837
57,smote_tomek,XGB,0.93,0.959,0.935,0.52,0.059,0.085,0.15,0.52,6.711
58,smote_tomek,CatBoost,0.913,0.878,0.842,0.685,0.51,0.249,0.165,0.685,7.408
59,smote_tomek,LGBM,0.919,0.845,0.796,0.8,0.804,0.288,0.175,0.8,7.147
